Description,Amount,Date
Deposit BestBuy #9929,249.72,2024-03-08
Deposit Costco #8903,1671.51,2024-01-15
Deposit Costco #4532,836.89,2024-02-19
ACH Transfer Google #2452,158.78,2024-02-14
Deposit Amazon #8597,1612.46,2024-02-22
Transfer Costco #8921,929.94,2024-02-25
ACH Transfer Uber #1337,112.36,2024-02-17
Payment BestBuy #4967,1805.11,2024-02-11
Deposit Google #6175,1054.84,2024-02-03
Refund Apple #8920,1611.41,2024-02-04
Invoice Apple #6745,637.8,2024-02-18
Refund BestBuy #6288,1656.29,2024-02-27
Deposit Costco #8179,125.4,2024-02-04
Refund Google #8831,1733.58,2024-02-01
Refund BestBuy #1308,1707.38,2024-02-08
Invoice Netflix #7781,215.94,2024-01-13
Transfer Netflix #4817,1041.98,2024-01-31
Invoice Apple #5732,1425.64,2024-02-02
Refund Costco #9840,1930.07,2024-02-11
Invoice Walmart #4497,321.22,2024-02-06
Withdrawal Apple #1155,1004.23,2024-01-15
Deposit Starbucks #3791,645.83,2024-02-24
Deposit Uber #9078,1667.52,2024-03-26
Transfer Google #2176,686.1,2024-01-22
Refund Google #9286,529.21,2024-03-23
Payment Walmart #3821,560.72,2024-03-09
Payment Shell #1670,265.22,2024-01-01
Withdrawal Costco #2143,1627.19,2024-03-24
Deposit BestBuy #8554,1673.22,2024-02-09
Deposit Walmart #8458,722.17,2024-01-21
Deposit BestBuy #3164,1051.89,2024-03-28
Refund Walmart #5010,1453.7,2024-03-08
Transfer Costco #9728,951.69,2024-02-19
Deposit Uber #1514,1071.52,2024-03-29
Invoice Apple #1068,1096.56,2024-01-22
Deposit Starbucks #5617,166.73,2024-03-17
Refund BestBuy #2877,1119.29,2024-01-09
Refund Walmart #9927,217.9,2024-02-01
ACH Transfer Apple #9584,1486.35,2024-01-30
Withdrawal Walmart #5456,1635.12,2024-01-25
Invoice Walmart #1060,1715.78,2024-02-24
Transfer Shell #5533,1741.19,2024-01-20
Withdrawal Amazon #6318,1707.71,2024-01-17
Refund Uber #4019,1462.99,2024-02-09
Payment Uber #2452,1168.0,2024-03-16
Transfer Google #7601,589.58,2024-01-18
Payment Uber #6122,1100.17,2024-01-15
Refund Costco #3040,581.74,2024-01-10
Refund Google #9621,1280.32,2024-03-05
Payment Starbucks #2298,1030.41,2024-01-28
Transfer BestBuy #9843,1240.8,2024-02-01
Refund Google #7368,1214.71,2024-01-05
Transfer Walmart #2035,271.86,2024-01-25
Withdrawal Google #6153,1122.12,2024-03-26
Withdrawal Costco #7469,766.03,2024-03-18
Deposit Starbucks #4199,1224.98,2024-01-06
Withdrawal Netflix #4875,910.75,2024-02-10
ACH Transfer Google #7756,1199.87,2024-01-14
Transfer BestBuy #7697,50.05,2024-02-08
Deposit Google #3378,319.68,2024-01-07
Payment Uber #7599,1554.77,2024-03-18
Withdrawal Walmart #7814,862.21,2024-02-17
Withdrawal Google #5950,155.89,2024-01-19
Payment Google #3769,156.57,2024-02-05
Deposit Google #4976,397.17,2024-01-24
ACH Transfer Amazon #2772,1478.08,2024-03-01
Refund Costco #4789,1451.7,2024-01-19
Payment Netflix #7364,1132.27,2024-02-27
Withdrawal Google #6914,786.65,2024-01-02
Invoice Amazon #8772,650.66,2024-03-31
Invoice Google #2385,351.55,2024-02-08
Invoice Costco #3391,252.66,2024-01-03
Invoice Amazon #7423,50.46,2024-01-25
Refund Uber #6461,535.94,2024-01-16
ACH Transfer Netflix #2193,1159.07,2024-02-16
Withdrawal Amazon #4861,1327.35,2024-01-18
Withdrawal Apple #8017,146.11,2024-03-18
Invoice Starbucks #4507,1738.07,2024-03-21
Payment Apple #4589,749.63,2024-01-25
Refund BestBuy #3868,1717.37,2024-01-25
Payment Shell #6382,311.44,2024-02-05
Refund Shell #2280,863.7,2024-01-06
Transfer Costco #7390,417.7,2024-01-06
Deposit Costco #4285,1357.57,2024-02-06
Withdrawal Walmart #5872,1198.82,2024-01-07
Withdrawal Starbucks #1315,777.65,2024-03-01
Transfer Shell #5259,767.94,2024-01-15
Refund Starbucks #8164,1043.65,2024-01-15
Deposit Shell #1253,590.41,2024-01-19
Withdrawal Costco #5880,417.57,2024-02-01
Deposit Amazon #8999,967.28,2024-01-20
Withdrawal Costco #4567,140.46,2024-01-29
Invoice Uber #3552,1949.63,2024-03-02
ACH Transfer Apple #7335,646.05,2024-03-03
Payment Netflix #4550,1147.51,2024-01-31
Transfer Apple #5806,579.83,2024-02-11
Invoice BestBuy #3477,727.32,2024-02-10
Deposit Amazon #4061,699.61,2024-01-31
ACH Transfer Google #8953,1384.37,2024-03-07
Invoice Google #4378,953.94,2024-01-12
Withdrawal Amazon #2764,1298.98,2024-03-02
Withdrawal Amazon #5271,48.77,2024-03-14
Deposit Shell #8643,921.32,2024-02-03
Payment Apple #8048,1314.24,2024-03-09
Refund Google #3067,605.17,2024-01-30
Payment Apple #4656,1664.29,2024-02-09
Withdrawal Walmart #2433,194.8,2024-03-13
Withdrawal BestBuy #8794,1452.42,2024-01-20
ACH Transfer Costco #9822,839.36,2024-03-07
Transfer Walmart #9320,1780.58,2024-02-19
Invoice Amazon #4658,468.58,2024-01-15
Deposit Starbucks #3300,853.57,2024-01-23
Deposit Google #2430,1019.06,2024-02-16
Refund Shell #3416,489.33,2024-02-09
Withdrawal Costco #1460,791.06,2024-02-18
ACH Transfer Costco #8801,476.95,2024-01-21
Withdrawal Uber #4892,530.33,2024-03-15
Transfer Starbucks #7017,1669.18,2024-01-26
Transfer Costco #7351,514.58,2024-01-28
Withdrawal Netflix #9270,1776.45,2024-02-14
Invoice Uber #8710,1171.04,2024-02-02
Refund Starbucks #1927,1297.68,2024-02-21
Refund Uber #6108,919.99,2024-02-27
Withdrawal Starbucks #6810,1766.11,2024-03-29
Refund Amazon #3156,1901.87,2024-03-28
Deposit Uber #1816,1805.34,2024-02-14
Payment Uber #8018,455.77,2024-01-27
Transfer Google #6054,1481.34,2024-01-13
Transfer Google #6730,499.66,2024-02-04
Refund Apple #9591,1188.27,2024-03-18
ACH Transfer Shell #5031,1468.72,2024-01-22
Transfer Starbucks #1427,749.47,2024-01-25
Payment Google #6336,1641.65,2024-02-05
Invoice Amazon #2595,831.89,2024-01-31
Deposit Amazon #1367,1255.54,2024-02-02
Invoice Netflix #4197,1528.11,2024-02-07
Invoice Walmart #6750,1149.08,2024-01-18
Withdrawal Google #3537,95.33,2024-03-08
Refund Amazon #3430,497.59,2024-03-05
Invoice Amazon #7020,631.61,2024-02-08
ACH Transfer Shell #8245,213.12,2024-03-03
Transfer BestBuy #4503,1085.71,2024-02-20
Refund Apple #7457,696.94,2024-03-30
ACH Transfer Starbucks #3490,232.05,2024-03-18
ACH Transfer Uber #8712,621.92,2024-01-26
Deposit Netflix #9442,552.78,2024-03-26
Invoice Netflix #3431,894.79,2024-01-09
Payment BestBuy #4442,1023.67,2024-01-30
Withdrawal BestBuy #2394,1510.62,2024-03-29
Invoice Google #2575,968.25,2024-03-07
Invoice Costco #8738,1275.67,2024-02-23
Deposit Walmart #8728,586.52,2024-01-25
ACH Transfer Google #2510,240.24,2024-03-04
Refund Starbucks #6118,304.06,2024-01-18
Refund Starbucks #7979,64.93,2024-02-18
Deposit Google #7239,167.61,2024-02-02
Refund Google #4047,1438.41,2024-03-18
ACH Transfer Starbucks #4241,1438.88,2024-02-01
Payment Walmart #5096,1791.2,2024-03-18
Refund Shell #8115,1103.38,2024-01-17
Withdrawal Google #2957,125.78,2024-02-16
Refund Starbucks #7095,181.52,2024-01-14
Refund Apple #5093,1680.23,2024-02-10
Payment Netflix #4887,666.86,2024-01-10
Payment Starbucks #4709,307.46,2024-01-03
Invoice Costco #3974,849.89,2024-02-12
Payment BestBuy #6033,1277.92,2024-01-10
Transfer Shell #1417,1761.65,2024-01-30
Transfer Uber #3304,363.54,2024-03-27
Payment Walmart #2898,1228.56,2024-03-02
Invoice Apple #2902,1903.77,2024-03-08
ACH Transfer Amazon #8933,1812.78,2024-01-18
Invoice Netflix #6340,161.46,2024-01-11
Invoice Netflix #8711,182.86,2024-01-19
Payment BestBuy #6527,56.33,2024-02-03
Invoice Apple #8355,1590.13,2024-03-19
ACH Transfer Costco #7765,1762.97,2024-01-11
Refund Apple #2251,243.19,2024-03-21
ACH Transfer Google #4704,378.49,2024-01-14
Payment Amazon #5574,702.88,2024-01-27
Payment Netflix #6968,1793.34,2024-02-04
Refund BestBuy #6593,1191.72,2024-03-25
Refund Amazon #3824,1042.89,2024-02-04
Transfer Costco #7343,658.94,2024-01-16
Deposit Netflix #6332,1777.2,2024-01-18
Invoice Netflix #1988,1527.02,2024-01-03
Payment BestBuy #5566,1566.45,2024-01-14
Invoice Costco #6338,1198.13,2024-03-19
Transfer Google #9078,1975.34,2024-03-20
Transfer Starbucks #4861,1181.7,2024-01-19
Transfer Amazon #1852,674.39,2024-01-28
Deposit Apple #6441,376.66,2024-02-06
Withdrawal Uber #7683,1726.07,2024-01-23
Transfer Amazon #2001,213.94,2024-02-02
Deposit Google #4031,1055.72,2024-02-04
Invoice Netflix #4736,900.09,2024-03-01
Refund Uber #2873,704.89,2024-03-05
Deposit Shell #6168,161.93,2024-01-18
Transfer Google #1903,73.36,2024-03-18
Transfer Uber #9575,1702.74,2024-02-06
Transfer Costco #1043,841.38,2024-02-27
Withdrawal Amazon #2737,1091.51,2024-03-14
Invoice Netflix #6527,363.45,2024-03-25
Payment Costco #5796,963.11,2024-03-28
Withdrawal Costco #2287,1302.8,2024-03-06
Transfer Apple #3066,1849.98,2024-01-15
Invoice Apple #4310,364.61,2024-02-25
Refund Uber #7370,984.92,2024-03-31
Transfer Google #5787,292.91,2024-01-27
Payment Costco #2779,1318.69,2024-03-17
Refund Google #2866,608.38,2024-03-08
Refund BestBuy #1689,346.8,2024-03-17
Payment Uber #6355,106.45,2024-03-13
Transfer Shell #2862,1064.56,2024-03-13
Payment Walmart #9365,492.21,2024-03-18
Deposit BestBuy #4693,1466.27,2024-01-27
Payment Starbucks #3554,1427.81,2024-03-31
ACH Transfer Netflix #7311,100.78,2024-01-16
Invoice Starbucks #6235,1701.2,2024-01-11
Deposit Amazon #8904,684.86,2024-03-09
Deposit Uber #7109,1477.79,2024-01-24
Withdrawal Google #6686,217.05,2024-03-29
ACH Transfer Walmart #1882,316.19,2024-03-05
Payment Uber #2215,1855.03,2024-02-27
Refund Walmart #3126,45.32,2024-02-21
ACH Transfer Google #2583,435.99,2024-01-18
Deposit Netflix #5405,1154.43,2024-01-23
Deposit Starbucks #5294,69.14,2024-02-08
Payment Starbucks #1953,311.5,2024-01-27
Refund BestBuy #9450,1421.29,2024-01-17
Withdrawal Apple #8362,408.37,2024-01-23
Withdrawal Apple #2362,1776.14,2024-02-24
Refund Starbucks #4923,1113.15,2024-01-02
Transfer Netflix #5810,112.9,2024-01-19
Deposit Netflix #8171,1807.02,2024-03-30
ACH Transfer Starbucks #1042,819.38,2024-03-28
Withdrawal Starbucks #8635,503.21,2024-02-23
ACH Transfer BestBuy #8556,120.76,2024-02-27
Invoice Shell #6509,258.29,2024-02-26
Deposit Netflix #6077,1177.19,2024-03-01
Invoice Netflix #2985,597.29,2024-03-11
ACH Transfer Netflix #9658,342.38,2024-02-22
Refund BestBuy #3480,249.93,2024-02-15
ACH Transfer Starbucks #6600,1939.19,2024-01-03
Payment Walmart #1296,229.74,2024-02-26
ACH Transfer BestBuy #2786,950.39,2024-03-28
Refund Starbucks #6215,702.73,2024-02-05
Refund Costco #5607,1873.26,2024-01-02
Withdrawal Apple #1880,373.14,2024-01-10
Withdrawal BestBuy #1262,1773.94,2024-01-30
Deposit Uber #1555,148.87,2024-01-31
Invoice Google #6517,953.52,2024-01-28
Invoice Netflix #9687,1414.4,2024-01-30
Deposit Walmart #5976,979.41,2024-02-21
Transfer Netflix #4321,1850.37,2024-02-02
Withdrawal Starbucks #9310,532.48,2024-03-30
ACH Transfer Google #1462,484.74,2024-03-07
Transfer Amazon #6674,1464.67,2024-01-02
Refund Costco #2135,181.16,2024-03-14
Withdrawal Netflix #9852,18.09,2024-01-21
Invoice Netflix #1683,736.63,2024-02-07
Payment Apple #3057,1863.84,2024-01-15
Invoice Netflix #8541,947.1,2024-02-03
Refund Uber #8684,341.31,2024-02-04
Deposit Walmart #9461,1315.71,2024-01-24
Withdrawal Uber #4519,1508.11,2024-01-25
ACH Transfer Amazon #4584,676.87,2024-01-11
Withdrawal BestBuy #5330,1973.04,2024-03-04
Deposit Uber #3538,1566.32,2024-02-25
Deposit Starbucks #5550,1907.26,2024-01-13
Invoice Netflix #3022,1876.17,2024-02-16
Withdrawal Google #9995,530.9,2024-02-05
Invoice Walmart #3320,378.19,2024-03-07
Transfer BestBuy #7693,1298.56,2024-02-16
Refund Shell #8924,1161.13,2024-03-02
Refund Shell #6972,1196.45,2024-01-24
Refund Walmart #9871,1128.98,2024-01-09
ACH Transfer Apple #2500,1114.21,2024-01-03
Withdrawal Amazon #3328,579.69,2024-01-31
Payment Amazon #5311,1736.55,2024-03-12
Withdrawal Walmart #3495,605.53,2024-01-02
Transfer Uber #6459,1905.1,2024-01-23
Invoice Starbucks #8825,766.37,2024-03-09
Invoice Costco #5395,1505.51,2024-02-20
ACH Transfer Netflix #4833,823.01,2024-02-21
Withdrawal Google #9917,1657.87,2024-01-01
Refund Netflix #9989,1098.73,2024-01-31
Payment Costco #7685,923.33,2024-01-12
Deposit Uber #4667,432.06,2024-02-14
Refund Netflix #7578,106.77,2024-02-27
Deposit Shell #9493,581.84,2024-03-17
Invoice Walmart #5302,1609.09,2024-03-10
Transfer Shell #6246,1035.45,2024-01-17
ACH Transfer Apple #4598,1214.23,2024-01-12
Invoice Amazon #7836,1053.82,2024-01-28
Withdrawal Costco #5622,1647.03,2024-01-20
Invoice Starbucks #6921,1863.63,2024-03-28
ACH Transfer Apple #5023,830.34,2024-03-07
Deposit Uber #4806,1805.44,2024-03-24
Withdrawal Starbucks #7902,1972.47,2024-02-01
Deposit Uber #8509,1937.21,2024-03-10
Withdrawal Amazon #2510,479.15,2024-01-04
Refund Netflix #1349,1730.52,2024-03-20
Refund Uber #3555,1943.3,2024-03-23
Deposit BestBuy #6733,1157.53,2024-01-19
Deposit Amazon #1619,1202.01,2024-03-01
Deposit Starbucks #9102,225.36,2024-01-01
Transfer Amazon #1821,1961.23,2024-02-04
Transfer Walmart #3935,1172.73,2024-02-26
ACH Transfer Walmart #5743,512.95,2024-03-15
Invoice BestBuy #7640,1480.59,2024-02-03
Transfer Amazon #1341,1513.41,2024-03-12
Transfer Netflix #3735,284.92,2024-03-24
Deposit Shell #2041,1262.5,2024-01-28
Deposit Costco #4888,1972.62,2024-02-13
Refund Starbucks #2065,418.5,2024-01-30
Transfer Shell #5150,1656.45,2024-01-04
Refund Shell #6077,1164.78,2024-01-13
Deposit Netflix #4687,585.16,2024-01-31
Transfer BestBuy #1414,968.19,2024-02-02
Withdrawal Costco #8687,1597.57,2024-02-12
Withdrawal Costco #2756,1017.42,2024-03-04
Transfer Netflix #8818,30.32,2024-03-22
ACH Transfer Shell #1969,1635.33,2024-01-18
ACH Transfer Google #3412,1817.09,2024-03-05
Invoice Google #4202,257.29,2024-03-18
ACH Transfer Amazon #8051,1831.18,2024-02-20
Deposit Uber #7744,409.41,2024-01-13
Invoice Starbucks #8011,1366.38,2024-03-12
ACH Transfer Shell #1870,242.34,2024-03-23
Payment Shell #9639,1294.66,2024-01-16
Withdrawal BestBuy #4449,954.39,2024-02-29
Transfer Walmart #6189,839.11,2024-01-03
Refund Costco #1432,1762.71,2024-02-22
Payment Netflix #2986,1405.12,2024-01-28
ACH Transfer Netflix #7941,1342.13,2024-03-20
ACH Transfer Netflix #9087,1701.71,2024-02-10
Deposit BestBuy #9437,584.91,2024-02-10
Refund Google #1350,756.41,2024-03-13
Payment Apple #4837,1309.28,2024-03-22
Invoice Shell #4223,605.08,2024-01-03
Payment Costco #9997,675.14,2024-01-22
ACH Transfer BestBuy #7634,667.98,2024-01-05
Transfer Walmart #3309,1646.49,2024-01-27
Refund Apple #3375,582.2,2024-03-12
Transfer BestBuy #7918,721.32,2024-02-17
Deposit Uber #9377,1028.28,2024-03-29
Refund Walmart #2513,1119.35,2024-03-12
Invoice Walmart #2658,425.08,2024-01-13
ACH Transfer Netflix #2440,1637.31,2024-03-18
Refund Walmart #2883,1080.78,2024-03-08
Withdrawal Amazon #4039,593.72,2024-01-02
Payment Costco #7583,1324.85,2024-03-17
Refund BestBuy #3156,1087.14,2024-02-27
Invoice Shell #9972,48.53,2024-03-17
Refund Netflix #8395,523.82,2024-02-15
Transfer Shell #2902,1726.25,2024-03-07
Invoice Costco #2898,58.19,2024-02-06
Payment Shell #4001,1015.65,2024-01-07
Transfer Google #7837,1426.64,2024-02-08
Refund Costco #4302,299.54,2024-01-16
Transfer Uber #1497,1839.33,2024-02-04
Withdrawal Amazon #6121,69.21,2024-01-16
Invoice Uber #6866,1749.12,2024-01-15
ACH Transfer BestBuy #8111,1003.08,2024-03-12
Deposit Amazon #3370,1742.72,2024-01-16
Transfer Apple #4162,1560.83,2024-01-27
Invoice Starbucks #2298,925.76,2024-01-17
Refund Uber #5534,550.14,2024-02-18
Withdrawal Netflix #1340,1110.79,2024-02-10
Payment Apple #7839,527.85,2024-01-17
Withdrawal Apple #3276,848.68,2024-02-06
Deposit Walmart #6505,216.09,2024-03-20
Payment Uber #8180,1789.19,2024-01-23
Deposit Apple #4378,1277.08,2024-02-22
Payment Walmart #5329,1830.22,2024-03-09
Deposit Walmart #8554,193.6,2024-01-02
Withdrawal Starbucks #6620,1119.75,2024-01-21
ACH Transfer Google #8296,1738.98,2024-03-27
Payment Apple #7094,69.19,2024-03-08
ACH Transfer Uber #3245,1708.24,2024-03-07
Invoice Uber #2437,1254.78,2024-01-30
Refund Costco #6318,1454.49,2024-03-07
Payment Uber #9702,1937.01,2024-03-19
ACH Transfer Google #4575,486.63,2024-01-30
Withdrawal Google #5051,800.14,2024-03-12
Payment Starbucks #3557,1630.31,2024-01-30
Invoice Costco #3080,1244.11,2024-02-16
Withdrawal BestBuy #9187,166.36,2024-03-08
ACH Transfer Costco #1889,793.76,2024-02-19
Refund Walmart #4957,1386.09,2024-02-05
Deposit BestBuy #4602,1486.55,2024-03-01
Withdrawal BestBuy #8180,1111.69,2024-01-05
Payment Amazon #9579,1353.77,2024-02-06
Deposit Apple #7034,1222.01,2024-03-30
Invoice Apple #2014,633.12,2024-02-23
Invoice Google #1434,856.19,2024-02-24
Payment Amazon #6683,52.8,2024-01-16
Transfer BestBuy #1839,1978.27,2024-02-16
Withdrawal Apple #7219,1013.17,2024-02-22
Transfer Apple #7118,578.08,2024-01-25
Deposit Walmart #8687,184.62,2024-01-27
Transfer Google #6518,141.06,2024-02-26
Invoice Google #1918,1708.98,2024-01-13
ACH Transfer Apple #6852,1228.11,2024-03-25
Transfer Shell #1619,1097.75,2024-01-10
ACH Transfer Amazon #8845,975.21,2024-02-27
Refund Starbucks #4440,1809.88,2024-02-28
Withdrawal Uber #8344,1388.37,2024-03-11
Deposit BestBuy #3947,1695.73,2024-02-19
Deposit Shell #7909,1577.78,2024-03-09
Deposit BestBuy #2957,192.39,2024-01-17
Payment BestBuy #3672,471.53,2024-03-08
Invoice Google #8675,557.55,2024-03-28
Withdrawal Apple #3173,130.86,2024-01-24
Payment Google #9447,1627.13,2024-03-18
Invoice Amazon #6059,1297.89,2024-03-01
Invoice BestBuy #4139,1302.09,2024-01-27
Payment Google #9435,1087.98,2024-02-15
Deposit Costco #7408,60.1,2024-03-14
ACH Transfer Walmart #6334,38.9,2024-01-26
Invoice Starbucks #4649,1998.86,2024-03-07
Withdrawal Walmart #6325,524.86,2024-02-03
Payment Shell #6245,1963.92,2024-03-04
Refund Netflix #8318,610.02,2024-02-09
Deposit Shell #9609,138.84,2024-03-10
Refund Costco #3777,722.46,2024-01-21
Payment Shell #8965,1236.04,2024-03-21
Transfer Google #5265,858.92,2024-02-04
Refund Amazon #8877,226.8,2024-01-07
Refund Starbucks #8892,539.8,2024-02-08
Refund BestBuy #5803,1522.56,2024-01-13
Withdrawal Netflix #5647,864.89,2024-03-13
Transfer Google #1997,348.18,2024-01-09
Payment Costco #5031,65.51,2024-02-01
Refund Uber #1361,613.71,2024-01-01
Withdrawal Uber #9508,1776.36,2024-03-21
Deposit Starbucks #3827,1829.01,2024-01-24
ACH Transfer Netflix #4828,1936.55,2024-01-30
Payment Google #7665,904.5,2024-03-23
ACH Transfer Starbucks #3419,1926.91,2024-01-11
ACH Transfer Shell #3695,986.33,2024-01-07
Invoice Walmart #7705,744.93,2024-03-12
ACH Transfer Shell #8479,1889.98,2024-01-21
Payment Apple #4858,1119.25,2024-03-05
Invoice Apple #8402,691.93,2024-01-09
ACH Transfer BestBuy #1434,1655.26,2024-03-23
Payment Uber #9908,1538.79,2024-03-30
Refund Apple #3591,393.6,2024-03-01
Refund BestBuy #1729,171.1,2024-01-14
Refund Uber #9101,1127.36,2024-02-02
Deposit Amazon #5174,670.95,2024-01-06
Invoice Uber #3686,1073.18,2024-03-04
ACH Transfer Apple #7313,1514.13,2024-02-21
Transfer BestBuy #4318,1307.93,2024-01-02
Deposit Apple #3840,885.24,2024-02-04
Deposit Starbucks #6137,1871.98,2024-01-19
Transfer Amazon #7196,558.08,2024-01-03
Transfer Costco #6460,793.16,2024-02-21
Deposit Costco #3546,51.9,2024-02-02
Payment Shell #2136,1902.9,2024-01-27
Payment Apple #9400,624.06,2024-03-28
Invoice Walmart #9203,1701.79,2024-03-13
Payment Walmart #7546,1715.0,2024-03-06
Refund Shell #2369,1681.25,2024-02-22
Deposit Uber #5010,441.57,2024-03-05
Withdrawal Shell #9637,1578.52,2024-01-01
Transfer BestBuy #4930,1458.13,2024-02-18
Invoice Netflix #2896,311.65,2024-02-23
Payment Google #2410,1769.95,2024-01-03
Refund Costco #6319,1164.84,2024-01-31
Refund Shell #1942,1998.53,2024-01-20
Withdrawal Netflix #5434,186.85,2024-01-18
ACH Transfer Amazon #1502,376.49,2024-01-02
Transfer Uber #7549,1755.07,2024-03-26
Deposit Shell #5995,1676.78,2024-03-15
Transfer Uber #8939,319.92,2024-03-01
Transfer Shell #3134,548.03,2024-03-08
Withdrawal Amazon #4920,1210.3,2024-03-21
Refund Netflix #1333,834.49,2024-03-06
ACH Transfer Apple #6912,600.42,2024-01-13
Transfer Shell #7751,1190.08,2024-01-10
ACH Transfer Amazon #6115,216.59,2024-02-20
Deposit Netflix #2271,1628.35,2024-03-03
Transfer Uber #7871,374.26,2024-01-05
Withdrawal Google #1634,1710.56,2024-01-01
Payment Uber #5753,296.94,2024-03-16
Transfer Google #2128,277.53,2024-01-25
Transfer Netflix #2489,1504.79,2024-01-19
Deposit Google #9648,10.61,2024-03-30
Payment Netflix #1216,800.13,2024-02-17
ACH Transfer Amazon #1704,1058.2,2024-01-01
Refund Costco #5951,1536.92,2024-02-19
Invoice Starbucks #5819,1352.74,2024-01-29
ACH Transfer Google #2348,445.39,2024-03-01
Deposit Netflix #8819,1181.08,2024-03-31
Invoice Amazon #5469,1933.39,2024-02-02
Withdrawal Costco #6734,1188.38,2024-03-01
Payment Uber #9040,197.91,2024-02-19
Transfer BestBuy #7227,1506.02,2024-02-18
Transfer Uber #7109,1605.01,2024-03-01
Deposit Walmart #1640,1627.91,2024-03-15
Invoice Netflix #2750,1648.59,2024-01-10
Withdrawal Google #2596,426.94,2024-03-17
Transfer Walmart #5431,610.0,2024-03-19
Deposit Uber #4448,1647.62,2024-02-29
ACH Transfer Amazon #4618,1378.16,2024-02-23
Withdrawal Uber #2256,924.41,2024-03-02
Deposit Uber #3224,1541.1,2024-02-23
ACH Transfer Costco #2657,202.23,2024-02-09
Refund Shell #2862,370.64,2024-03-29
Deposit Google #8182,990.66,2024-03-17
Invoice Google #5119,756.56,2024-02-19
Transfer Shell #6000,1550.15,2024-01-24
Payment Netflix #7302,210.98,2024-03-17
